phrase,prompt
['i f3e/ dizzy xvter severe diarrhea'],Feeling dizzy
The bakery nearby sells the best,out of context
pain my in body feel i,Internal pain
iodine feel pain inch my foot,Foot ache
Is there cure for acne?,Acne
I have blurry vision after I used a wrong medicine.,Blurry vision
I complain alot with my neck pain and i really need to be better,Neck pain
When I stand up I start to feel dizzy and light-headed,Feeling dizzy
My neck be annoyance Maine iodine can't sleep bacause of information_technology,Neck pain
chronic disease of hair follicle and greasy glands.,Acne
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
When I wake morning up in the morning I feel a soreness in my body,Muscle pain
i hit the ground when trying to shoot a basketball,Injury from sports
['duen I stand up too auJcMly I atar4 to feel cizzT and ligg5 - headed'],Feeling dizzy
['I feel increased heart tXte DOth peidk'],Heart hurts
My shoulder injury when iodine attempt to range something above my head.,Shoulder pain
My favorite color color is,out of context
i feel pain in foot,Foot ache
My hair is falling when iodine I am combing it.,Hair falling out
The worst headache during a hangover in twenties: I sincerely thought I was going to die from inflammation.,Head ache
last My hospital a year went time was to because breathing having grandmother hard she,Hard to breath
['I kov3 to garden but I get a terrible t1inhe in my loEdr Gac. dhem I leXg over.'],Back pain
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
My biceps get_down ache after iodine travel to the gymnasium,Muscle pain
I complain allergy alot with skin allergy,Skin issue
I have a rash on my skin,Skin issue
have is that red and I a cut swollen.,Infected wound
"Had I stepped on a acerate_leaf needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
['I bro<s my ankle while doing 4oc> sKimb7ng in the Sa$pathKabs.'],Injury from sports
My stomach feels better starts hurting but then it feels better after I eat something mild.,Stomach ache
My hurts a lot I bend,Back pain
My back is hurting so much.,Back pain
complain I complain alot with my neck pain and i really need to be better,Neck pain
I feel heart pain when walk a lot,Heart hurts
The acne Washington causing Maine to feel embarrassed.,Acne
"['I t2el Feakly sad all the t7,e.']",Emotional pain
bad Washington truly this morning. The traffic,out of context
is my cut infected or just healing?,Infected wound
"It started as a tinnitus, but today arsenic the pain is throbbing and unbearable.",Ear ache
iodine feel faint,Feeling dizzy
['i feel GeAd wchf'],Head ache
My neck injury Maine and iodine can't base with this pain,Neck pain
I have a scab on the back of my hand that just won't go away.,Skin issue
I feel a sharp pain in my stomach,Internal pain
['I rrel 9sin when (ar67ng loved ones'],Emotional pain
My body aches on the inside between my hips and body shoulders.,Internal pain
severe pain inch the upper_berth left side of thorax and May rich_person pain to back,Heart hurts
I can't I have a pain knee,Knee pain
My head gets dizzy when get I try to get up.,Feeling dizzy
dr. I feel a strange and powerful pain my rib,Heart hurts
I dull ache in head,Head ache
When inch I walk I get a stabbing pain in the top of my foot,Foot ache
There's swelling my neck and it hurts.,Neck pain
I feel depressed when I see my hair falling out,Hair falling out
When to am I cold I go feeling sleep,Feeling cold
i feel feel sad,Emotional pain
it's and it. My foot can't hurts I Maybe broken. turn,Foot ache
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
hair falling bunches. out My in is,Hair falling out
the respiration is In loud. my morning,Hard to breath
"km, ache i like long for foot 3 feel i walked in a pain my foot",Foot ache
['i fQnt sleep beca TAF of cough'],Cough
There is a constant tickle in my throat,Cough
['gherD is Yhus oaig that eadiw6es from my dh4st up to my left arm.'],Heart hurts
"It is hard to breath when I am in the underground metro station, why?",Hard to breath
i have a problem in inch seeing objects it is too difficult to see,Blurry vision
iodine feel angstrom sharp pain inch the stomach after eating,Stomach ache
after eating iodine rich_person burning sensation inside of me.,Stomach ache
I have a pain that radiates up from my right hip to my rib cage. It is at up it's worst when I urinate.,Internal pain
When i obscure get up i see my skin vague,Skin issue
is my cut Oregon infected or just healing?,Infected wound
The cake we made turned out delicious.,out of context
The worst concern Washington during angstrom hangover inch my twenties: iodine sincerely idea iodine Washington departure to die from brain inflammation.,Head ache
I a split on my thumb that will not heal.,Open wound
friend guitar. My just a new,out of context
mountains. hiking in I the love,out of context
['i frfl pain in my n$cM'],Neck pain
['It bHrts wNej I Fakse my arm up'],Shoulder pain
"iodine use to beryllium out of breath after departure up angstrom twelve of stairs, merely now iodine struggle to breath evening when iodine sit down.",Hard to breath
I feel like the world goes round and round,Feeling dizzy
My knee feels weak and it gave way the other day at the top of the stairs. Luckily there was a rail to hold on angstrom to.,Knee pain
The cake we make turn out delicious.,out of context
I have a painful cramp in my feet,Foot ache
game on weekends. like play video to iodine,out of context
a has My son acne. lot of,Acne
I cannot bear this squeezing sensation I have in my chest.,Heart hurts
It feels like someone stuck a knife into my shoulder,Shoulder pain
I used have acne when I was years old,Acne
My heart is beating fast it,Heart hurts
['My gac< hurts a lot dhsn I hehd'],Back pain
My head I'm when doing hurts this.,Head ache
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
calve. pain a There my sharp is in,Muscle pain
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
ache ear feel very I When sneeze hard I,Ear ache
['There is oaij in the m tWclds I do not Lniw VaKsed'],Muscle pain
"[""WhRg i ' m awake in the morning I bedl stgaGg# and hsvd feFt7go""]",Feeling dizzy
I'm not good i feel dizzy,Feeling dizzy
['When I l8f^ my AFms up I have a DoEenWss in my chIuiders'],Shoulder pain
iodine use alot of pain killer to get better merely iodine still feel the Lapp back pain,Back pain
['I could not exR5Xise because of my Ine3 LaLn'],Knee pain
['Secwre pZim in the ear'],Ear ache
"when i get up, i feel dizzy and fall down.",Feeling dizzy
friend just bought a new,out of context
I've got a hard time to americium breath- am I having a heart attack?,Hard to breath
"[""I ' m Eeel8nN nauZDIus""]",Stomach ache
When I up stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
My back back hurts a lot when I bend,Back pain
"Laceration, rupture or opening in the skin",Open wound
iodine feel pain inch my knee,Knee pain
discomfort or that at point along the front of the body the and upper,Internal pain
iodine feel emotionally oppress,Emotional pain
i have a strong shoulder pain,Shoulder pain
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
I enjoy running in the park every morning.,out of context
I'm not feeling good I take breath,Hard to breath
iodine can't drive my car astatine night because iodine rich_person bleary vision.,Blurry vision
have an day I foot working ache hard After,Foot ache
When I stand up too quick my vision is blurry. iodine,Blurry vision
have stomach pain and,Internal pain
for my a need for hair treatment I'm fall in,Hair falling out
['When I was y8umg I had an 8Jjury troN s9ortD in my .n4e.'],Injury from sports
I have a dry throat,Cough
"feel chilly, like an ice cube. My sister said needs blankets to cover her so that she is warm enough.",Feeling cold
open squeezed infected. broke son like is and only it a now and it over to looks scab pimple My,Infected wound
I along I for when distance my ran hurts heart felt,Heart hurts
I'm not feeling good I can't take my breath,Hard to breath
"[""I hacF a pzKn tJa5 rad*qtRs up Vro, my riggh hip to my rib catS. It is at it ' s wotEt when I Kr8na^e.""]",Internal pain
After a breakup feel in me.,Emotional pain
"I feel chilly, like iodine an ice cube. My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold
When I brush my hair I notice big of hair coming out in the brush.,Hair falling out
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
It itches inside my ears.,Ear ache
hit a have yesterday. my blurry head I vision was after,Blurry vision
I feel congestion my chest,Cough
I get a knee pain when I walk a lot,Knee pain
iodine love to garden merely iodine get angstrom awful pang inch my lower_berth back when iodine tilt over.,Back pain
iodine chop murder the tip of my finger while iodine Washington film_editing some cardboard and iodine cannot stop the bleeding.,Open wound
"My stomach ache after iodine drink any sodium_carbonate drink, why?",Stomach ache
When i'm doing sport I have pain under my skin,Muscle pain
['i cant soSep because of Dpugh'],Cough
i observation was watching tv and suddenly have blurry vision,Blurry vision
I have a pain in my pain muscle,Muscle pain
There is a sharp pain in my calve.,Muscle pain
started after gym I My went to aching biceps the,Muscle pain
['standing less HhXn five minutes and my bWxk sYatt to wchw'],Back pain
iodine aftermath up with angstrom stiff neck every morning. massage aid merely then angstrom couple of days later it's back again.,Neck pain
I've cough for two weeks. had this,Cough
My son had a root canal and the dentist accidentally cut the inside cheek of his cheek and now it will not heal.,Infected wound
I sliced myself deeply with a knife while I was cooking,Open wound
"When I move on pain my shoulder, pain shoots down my arm",Shoulder pain
I'm agony from sharp cough attach_to by emotionlessness,Cough
['My joiHtx axhS whenever it is vo<d'],Joint pain
iodine rich_person this strange rash on my arm.,Skin issue
My sore isn't healing and been like this for weeks.,Open wound
"[""i can ' t 3al<, my mneF huT6s me""]",Knee pain
"[""My fl8t h&ets and I can ' t huen it. MayH@ it ' s br)Oen.""]",Foot ache
my dropped and my body get synosed,Feeling cold
I feel pain i think of her,Emotional pain
help and but it panadol have took i a doesnÕt i migrain,Head ache
When I wake up in the morning morning I feel a soreness in my body,Muscle pain
hair tonic,Hair falling out
I chopped off the tip of my finger while Washington I was cutting some cardboard and I cannot stop the bleeding.,Open wound
Have severe cold and cough,Cough
I feel severe itching in the skin with redness,Skin issue
My feels bone is bone when kneecap I grating on like walk. it,Knee pain
I feel a away great pain in my shoulder joint and it does not go away,Joint pain
i cold,Feeling cold
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
My sore isn't healing well and it's be like this for two weeks.,Open wound
My acne is really embarassing. It's read.,Acne
agreat shoulder has pain My,Shoulder pain
"redness, swelling, and",Knee pain
"[""I hwv4 a nr2at sto,wVh scje and i can ' t eat any 6hiGg""]",Stomach ache
I hit myself and the would doesn't want to heal,Open wound
['What helps c8gs heal tSster?'],Open wound
['After @alo7ng I hadR some pain  tHder my foot'],Foot ache
I love mountains. hiking the going in hike,out of context
When I carry things i feel like breaking my back,Back pain
sad pain hurt like or feel I,Emotional pain
I can't do anything I feel a weak in my body,Body feels weak
I'm feeling nauseous feeling,Stomach ache
"[""I ' m JaCing a JXrd time rFARing because the letfdrd are all duAzy""]",Blurry vision
is my cut infected or,Infected wound
my ankle is pain hurting me,Joint pain
['meWriHg any loud soknws makes my ear acMed'],Ear ache
iodine always feel like iodine rich_person menstrual striving evening if iodine don't rich_person my period.,Internal pain
['I f2ep a grRWt Wmoun5 of lDessude on the sides of my neck'],Shoulder pain
iodine Washington travel by ship and iodine feel dizzy.,Feeling dizzy
I rich_person have a back pain since I fell on the floor.,Back pain
be there angstrom remedy for acne?,Acne
My kee be swallow which bespeak iodine rich_person Associate_in_Nursing infect wound,Infected wound
['My YksbAnd has a sopt on his lip thqG he though was cold sofr but now it has bgo.en kpwn and ldaIs vluiE all day.'],Infected wound
quiet to The study. is place library,out of context
I coughing. stop can`t,Cough
there is a red stain my skin,Skin issue
When iodine bend over iodine get angstrom shooting pain down my back,Back pain
['Wy$n I was Jounb I had an injury f30m Epo4ts in my knf$.'],Injury from sports
better. ago antibiotic getting it's an couple my cream weeks keep a I and hand even cut though of using I not,Infected wound
I a lot pain in the joints.,Joint pain
iodine frequently get angstrom sharp pain inch my thorax and iodine can't Tell what I'm make that might beryllium trip it.,Heart hurts
iodine feel truly sad all the time.,Emotional pain
['i hZv$ muscle pX(n at my l@fG leg.'],Muscle pain
The evening. Washington sunset beautiful,out of context
My upper back has been sore for a week.,Back pain
and My it his and become has with like son neck spot razor that inflamed looks old infected. an is nicked,Infected wound
I have tried to make massage on my foot but they still pain me,Foot ache
"Every time I make an effort, I felt dizzy.",Feeling dizzy
I have a back pain since I turned 70 years old.,Back pain
My skin itchy and,Skin issue
When iodine play football iodine rich_person muscle pain.,Muscle pain
My blue. color favorite,out of context
My joints ache whenever it is cold,Joint pain
iodine rich_person angstrom pain inch my muscle,Muscle pain
I iodine have general discomfort in my torso.,Internal pain
I was playing soccer and I twisted my ankle,Injury from sports
My daughter have her eyebrow weave and information_technology pull Associate_in_Nursing opening of skin inch one of her brow that be now bouffant and oozing.,Infected wound
"and bit sore, swollen oozing cat by is her daughter liquid. her red now hand My was wound and the and is",Infected wound
Even an adult keeps breaking out in pimples.,Acne
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
"I fell through a window while I was cleaning it and I have a shard cleaning of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
"I hardly have enough stength to get up,",Body feels weak
"[""My face has brk>en out in painful red qpoGs and >umpX, Yha% no nZtter how much I clSSn my Gwce don ' t seem to be gkJng aws6.""]",Acne
['I naCe a sNarl pzih in my neck'],Neck pain
I have a neck pain when I sit in-front of my laptop.,Neck pain
I I've a a got to heart breath- attack? hard time am having,Hard to breath
"iodine get tire excessively fast, iodine can barely put_option on my apparel inch the morning.",Body feels weak
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
My heart feels like it's going heart to explode.,Heart hurts
cake The we make delicious. turn,out of context
iodine cut my hand angstrom couple of week ago and evening though iodine support exploitation Associate_in_Nursing antibiotic cream it's not acquiring better.,Infected wound
"i can't my leg, there is pain in",Joint pain
having difficulty my knee,Knee pain
All a sudden I felt dizzy when I stood up.,Feeling dizzy
iodine rich_person angstrom great pain inch my foot like thrombing pain with relax my pain releif,Foot ache
sharp pain and heavy breathing,Internal pain
I do not feel better in my muscles better,Muscle pain
I'm in need for a treatment for my hair fall,Hair falling out
inch I have pain in my stomach,Stomach ache
my I pain the on keyboard. write when feel in shoulders I,Shoulder pain
['My son got a tXtto9 devS$al weeks ago and the DOin arKuMd it is Exised and hot and it poo.s infeVtfS.'],Infected wound
I have a blurry vision after my head was hit,Blurry vision
My back hurts me and i can't bend it or walk,Back pain
foot hurting so much.,Foot ache
Chronic bone disease at the level of disease the doubles of the lower Estremidades,Knee pain
When i'm doing sport I have pain under my skin,Muscle pain
"[""I just can ' t seem to get 2aDm. SvDn wYem everyone Xrpund me is wA5m I always Reep So>d.""]",Feeling cold
['My muscle in my sho^pdeD hurHs wTem I Koge my arm.'],Muscle pain
Feels like there are pins and in my joints,Joint pain
"[""I got a fiv0rcs iasG yRXr and I jksF can ' t AtoO dwflkJng on how to get tevRng3 on my ex h tsGabd.""]",Emotional pain
"feel get cope I I and just just break. I I can't a like anymore, can't overwhelmed like feel",Emotional pain
['Ahsn I wake up I am DSeliBg c*/d'],Feeling cold
"lot of heart pain my in feel i hurt,",Emotional pain
"['My b8Ey feF<s 2Fak afYDr my fLrsh day in the gym, why?']",Body feels weak
muscles a I more kind of make my wich need relaxed cream,Muscle pain
My kee be swallow which bespeak iodine rich_person Associate_in_Nursing infect wound,Infected wound
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
inflamed My is and itchy skin,Skin issue
out cake delicious. turn make The we,out of context
see When i'm driving my eyes see in double,Blurry vision
"[""I ' ve be@m fwe/iGg v3r^ sad lately""]",Emotional pain
I out I lungs feel I hardly breathe what's get can in like unless my,Cough
iodine hide murder my motorcycle and since then iodine have difficult knee pain,Knee pain
There is pain in the muscles I do know caused,Muscle pain
The train Washington delay by Associate_in_Nursing,out of context
"i have whooping cough with excess mucous, need mucolytic.",Cough
"surgical wounds red, firing pus, painful hot and hot to the touch",Infected wound
I had inch a sharp pain in my stomach,Stomach ache
I have a back pain since I fell on the hide floor.,Back pain
I feel pain in my neck after waking up,Neck pain
i'm disappointed,Emotional pain
I have found some issues skin and to use cream but doesn't get,Skin issue
['I oPve to garden but I get a hrrribKe twinge in my lowrt back wh#h I ;Ran ov3%.'],Back pain
['i have a grsZt LaLn in my foot OiMe thrombing Oakn with relaxing my pain te<eif'],Foot ache
iodine Washington very active_agent inch sport merely now my body be feeling pain.,Injury from sports
These red spots on my cheeks are new. What is it?,Skin issue
I don't know why I'm constantly sad.,Emotional pain
"iodine Washington playing basketball yesterday, iodine rich_person twist ankle",Injury from sports
i feel dizzy after severe diarrhea,Feeling dizzy
couple of even an cut I keep my it's though hand not better. a cream I weeks and ago antibiotic using getting,Infected wound
Stomach pain after drinking milk,Stomach ache
I have shoulder pain when I try to attempt carry my groceries.,Shoulder pain
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out
['I get a knR# 9a(n #hrn I walk a lot'],Knee pain
My body ache on the inside between my hip and shoulders.,Internal pain
hiking in mountains. I love the,out of context
There is an injured person,Infected wound
iodine feel angstrom great sum of pressure of my head.,Head ache
iodine rich_person cloudy eyes,Blurry vision
My muscle inch my lower_berth back are aching.,Muscle pain
"[""i can ' t wqlu, my Lbee M Trts me""]",Knee pain
['My hSck hjr5s a lot when I bejx'],Back pain
still is open wound The,Open wound
I throughout the in,Body feels weak
"['WTsn I go to Qtanv, my head srar5s swirling']",Feeling dizzy
I have shooting pains up and down my back.,Back pain
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
In the morning my respiration is loud.,Hard to breath
I can't stand with this horrible feeling in my shoulder,Shoulder pain
my ear hurts me badly,Ear ache
My stomach feels full and upset after and bloating after big meals.,Stomach ache
When I remember her I feel down,Emotional pain
I have a foot after running 500m shoes.,Foot ache
iodine rich_person angstrom sharp pain inch my abdomen.,Internal pain
My heart feels like it's going to explode.,Heart hurts
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
I depressed when my hair falling out,Hair falling out
herd I have difficulty in breathing in crowded places.,Hard to breath
"['I am woDri4W how cK.d intklSraMt I am, I am alwa7D shLver*Gg, eCfn out in the sun.']",Feeling cold
I severe the skin with redness,Skin issue
I feel pain I do know what it is,Internal pain
vitamins take my regularly. My I although body feels weak,Body feels weak
cough severe i have dry,Cough
iodine have angstrom pain inch my knee when iodine Washington swimming,Knee pain
My hair falling out I,Hair falling out
I've been over my cold for weeks but still cough every day.,Cough
rash a have an eating skin after I ice-cream.,Skin issue
iodine think my body temperature be very low.,Feeling cold
['I Bav# oOmOles on my bzc..'],Acne
i have pain but i can't specify place,Internal pain
angstrom awful fall inch hair,Hair falling out
['I broke my zHkle Ehils doing rock cljmHinr in the CarpZth&wnW.'],Injury from sports
The weather forecast predicts rain tomorrow.,out of context
['My Geaw h74ts in the bzc> and the pain lWstC all day.'],Head ache
I had alot of exercise have yesterday so i feel sharp muscle pains,Muscle pain
I can't angstrom get a girlfriend because of my acne.,Acne
['S9methihv Earj is yherf on my arm'],Skin issue
grandmother last to because she time breathing,Hard to breath
"[""WGsn I ' m too huyh I Xtaet to feSk dizzy""]",Feeling dizzy
"My hair is coming out in chunks, especially when I wash it",Hair falling out
important environment. to It's recycle protect,out of context
hurts and I can't turn it. Maybe it's broken.,Foot ache
"drink aches I stomach soda why? My drink, any after",Stomach ache
I can't carry anything I have a pain in my shoulder,Shoulder pain
favorite is blue.,out of context
There's swelling in my neck and it inch hurts.,Neck pain
my hair falling out,Hair falling out
iodine think iodine twist my ankle information_technology truly hurts.,Injury from sports
shoulder hurts me so much,Shoulder pain
heavy When carry back my i breaking I things like feel,Back pain
feeling I can't my good I'm take breath not,Hard to breath
"[""My ALin coliD on my bZvk is red, I don ' t mno# why.""]",Skin issue
good dizzy not feel i I'm,Feeling dizzy
I awful have terrible pain in my heart,Heart hurts
My calves feel like they are tight and are,Muscle pain
When i i see my,Skin issue
I feel dizzy after doing a muscular effort.,Feeling dizzy
['i can haEdlH bgeXtYe'],Hard to breath
My son have angstrom root canal and the dentist by_chance cut the inside of his cheek and now information_technology volition not heal.,Infected wound
"[""It DeelE lJoe I can ' t take a d#Sp br#a%h""]",Hard to breath
My ankle throbs when I put pressure on my,Joint pain
i'm injured i can't play sports,Injury from sports
['My jneeQ serH to g3inC as I go up or wowB stairs.'],Knee pain
['My nsck is gurtLnt so JuSh.'],Back pain
['PaOB in the lsrFe neck'],Neck pain
['My Bo9t is huEtijn so <*ch.'],Foot ache
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain
Have you tried rich_person the new restaurant,out of context
I have internal pain whenever I come down with a cold.,Internal pain
The area about around my heart doesn't feel good.,Heart hurts
I had a collision while soccer. knee buckled and now it's unstable.,Injury from sports
heart breath- a attack? am having hard got I've I a to time,Hard to breath
"I cough a when I smell perfume, what is with my lungs?",Cough
My knees on ache on cold and rainy days.,Knee pain
I can't do anything I feel a weak in my body,Body feels weak
I can't stand up or sit down sit I have a pain in my back that annoys me,Back pain
foot but have on massage to make they tried I my pain still me,Foot ache
['My qhouOCer has agreat 9aiJ'],Shoulder pain
['I hxv@ an ear asYe wh@J showering'],Ear ache
My stomach feels starts hurting it feels after eat something mild.,Stomach ache
My bend when I hurts a lot back,Back pain
"['I get 6ir4d too Gxst, I can baddly put on my f>oth@s in the HorMiGg.']",Body feels weak
I have cut my became infected from using the showers at the gym.,Infected wound
using hair tonic,Hair falling out
iodine feel heart pain when iodine walk angstrom batch,Heart hurts
A terrible fall in hair,Hair falling out
iodine feel faint,Feeling dizzy
My foot is foot hurting so much.,Foot ache
iodine rich_person shooting striving up and down my back.,Back pain
"i can't move my leg, pain there is pain in the joint",Joint pain
I cut my foot at the pool pool and it breaks open every day when I walk on it.,Open wound
just back my scab away. a go the that hand on have won't of I,Skin issue
I have a ear ache when I go to the pool,Ear ache
I fell a stiffness in my and shoulders,Joint pain
There is this pain that radiates from my thorax chest up to my left arm.,Heart hurts
I have an open wound in iodine my arm,Open wound
prefer tea over,out of context
i was playing football Washington and injuried with joint pain.,Joint pain
I don't have full range of motion with my arms,Shoulder pain
i feel dizzy dizzy after severe diarrhea,Feeling dizzy
have a pain in my elbow joint,Joint pain
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
The good. doesn't my heart feel area around,Heart hurts
My back injury angstrom batch when iodine bend,Back pain
When I play football I have joint pain.,Joint pain
I a shouder pain had Yesterday,Shoulder pain
The wound wound is still open,Open wound
back My back got injured while i was lifting at the gym,Injury from sports
iodine feel dizzy after make angstrom muscular effort.,Feeling dizzy
When I up too quick my vision is blurry.,Blurry vision
powerful my have pain inside I neck a,Neck pain
I feel joint pain every time I move move,Joint pain
feel my a I pain back in,Back pain
iodine hit the land when try to shoot angstrom basketball,Injury from sports
every time information_technology rain iodine get urtication on my abdomen and sides.,Skin issue
iodine rich_person general discomfort inch my torso.,Internal pain
there be angstrom sharp pain inch my ear whenever iodine bash this.,Ear ache
"why was which explains felt I always I with cold. B12-deficiency diagnosed anemia,",Feeling cold
"[""i ' m 7njurwX i can ' t olaU wpor$s""]",Injury from sports
My stomach feel full_moon and disturbance and bloat after large meals.,Stomach ache
My cough is very heavy and I have mucus.,Cough
out depressed hair I see my feel when I falling,Hair falling out
I hit my head basketball game. Could I have a,Injury from sports
I go to the I when pool ache ear a have,Ear ache
today. is blue clear sky,out of context
I could not exercise because of my knee pain,Knee pain
I feel a strange and powerful pain inside my rib feel cage,Heart hurts
information_technology feel like iodine can't return angstrom deep breath,Hard to breath
My infected wound caused angstrom a fever,Infected wound
The pain in my back dwwls like a sharp knife in it,Back pain
I feel pain my back,Back pain
iodine bash not know why iodine feel cold,Feeling cold
['My XaIghteF had her eyebrows thrWwd@d and it pulled an oOeniHF of E<in in one of her b$oww tTSt is now )uffT and o(ziny.'],Infected wound
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
My thorax injury when iodine go to return angstrom breath,Hard to breath
there be angstrom constant tickle inch my throat,Cough
Since iodine travel into the forest iodine rich_person pain on my ear,Ear ache
Is pimples a skin disease?,Acne
['my shoJlfeE is h*E4ing me'],Shoulder pain
The sunset was beautiful last,out of context
['I hagw bl*%ry GiAion after I used a wrong meFic(ns.'],Blurry vision
I skin have a skin rash after eating an ice-cream.,Skin issue
['My body fweos qezk and I tr9ex to make it relax but it sti.le 9akn me'],Body feels weak
scabies astatine front and center of scalp,Hair falling out
When I eat too much sugar my body gets weak and dizzy.,Body feels weak
When sugar my eat blurs. notice I I vision,Blurry vision
I feel lightheaded when I stand up base,Feeling dizzy
iodine feel great pain inch the head,Head ache
There are lots of hairs on my pillow in the morning.,Hair falling out
My upper back has been be sore for a week.,Back pain
I a knee pain when I walk lot,Knee pain
my urinate. hip at rib a up my worst to is from It that pain I have I cage. when radiates right it's,Internal pain
I have some problems when i'm breathing during night.,Cough
My son have his lip pierce and information_technology be swell and the skin inside on his lip be Grey and expression infected.,Infected wound
pain can't i place specify have but i,Internal pain
My joints ache whenever it is cold,Joint pain
['I ?ov4 to wa:i and be oJYsiee but the VIYtoms of my C#et get sore so quJck;5.'],Foot ache
gymnasium I have a hard muscle pain since i went to the gym,Muscle pain
"[""I cut my hand a coull$ of wSekA ago and Wvem yYough I keep 6siBg an Qnt&bOotic vFeam it ' s not getting Getyer.""]",Infected wound
I in feel a neck my pain,Neck pain
I on of amount the pressure great feel a my neck sides of,Shoulder pain
seem to grind I go up down stairs.,Knee pain
I feel cold when the night comes,Feeling cold
i pain like needles in my joints.,Joint pain
iodine rich_person angstrom neck pain when iodine sit in-front of my laptop.,Neck pain
I'm not feeling good iodine get infection wound,Infected wound
I feel hurts in my injury heart,Heart hurts
I have a foot ache after running 500m with my iodine running shoes.,Foot ache
feel when in on I write the keyboard. I pain my shoulders,Shoulder pain
It feels like someone stuck a knife into my shoulder,Shoulder pain
I do not know I feel cold,Feeling cold
in places. crowded I have in difficulty breathing,Hard to breath
face very break on I my out frequently,Acne
iodine visit many doctor merely they can't discovery the right treatment toget my hair back,Hair falling out
shoulder at I pain intervals feel time. of,Shoulder pain
My acne is really It's so,Acne
When I wake am feeling,Feeling cold
"After playing tennis, I had a stopping_point powerful sensation close to my neck",Shoulder pain
My hair iodine always falls out and i have lost a lot of hair lately,Hair falling out
I cannot because of this below my shoulder.,Heart hurts
"['i was 0.ayiGg vask26ball yesterday, i have dLtained ankle']",Injury from sports
"[""I ' m sufd4rjng frIn sharp cough AFcompXnKee by phlegm""]",Cough
sharp pain and heavy breathing,Internal pain
is These on new. my What cheeks it? are spots red,Skin issue
['My wound op4ged up SgQin'],Open wound
I feel something hurt me taking and cant take my breath,Hard to breath
My knee feel weak and information_technology give manner the other day astatine the top of the stairs. fortunately there Washington angstrom railing to clasp on to.,Knee pain
surgical Surgical wound infections,Infected wound
and swollen. that have is I cut red a,Infected wound
The heart crushing sensation on my heart leaves me breathless.,Heart hurts
My knees ache on cold and rainy days. showery,Knee pain
My falling when I am combing it.,Hair falling out
out cake delicious. turned made The we,out of context
"information_technology be difficult to breath when iodine americium inch the underground metro station, why?",Hard to breath
iodine feel cold although we are inch summer.,Feeling cold
My acne is really It's so,Acne
iodine feel pain inch the lower_berth back,Back pain
i am having problems seeing things like cloud on my eyes is blurry,Blurry vision
"surgical wound red, fire pus, painful and hot to the touch",Infected wound
The area around my heart doesn't feel good. area,Heart hurts
My muscle inch my lower_berth back are ache,Back pain
iodine can't bash anything iodine feel angstrom weak inch my body,Body feels weak
iodine feel cold,Feeling cold
I feel a strange and angstrom powerful pain inside my rib cage,Heart hurts
chronic disease of hair follicle and greasy gland,Acne
['When I snreAe ger% hard I G2el ear ache'],Ear ache
itch at and center of scalp,Hair falling out
iodine americium have problem visual_perception things feel like angstrom cloud on my eyes everything be bleary,Blurry vision
I feel a burning sensation in my guts about 2 hours after each,Stomach ache
I feel pain in back my back,Back pain
I have a muscle pain in my muscle,Muscle pain
['I cToOpef off the tip of my figgSr wuiie I was suttJnR soH# carSboxTd and I cannot sgo) the bleeding.'],Open wound
I'm feeling nauseous,Stomach ache
delicious. The cake turned we out made,out of context
"with my wear even frozen! hottest must toes wrong have I on are the circulation, my something days, to blood socks There be",Feeling cold
pain The severe pain in the stomach I feel,Stomach ache
I feel pain in my neck while while I'm working.,Neck pain
"['I Vel: thTIuYh a window !hilf I was cleaning it and I tade a shard of glaDQ stuck in my left eye, I tmin. it is pr2tHy serjo TD, p/eaEe be?p!']",Open wound
iodine rich_person pain inch my thorax that sadden me.,Heart hurts
iodine rich_person dark musca_volitans on my skin,Skin issue
bad this The was morning. traffic,out of context
I have pain in my colon and my stomach something cutting,Stomach ache
I must see a doctor i have an open wound,Open wound
can't rotate my neck,Neck pain
