phrase,prompt
i i feel stomach hurts,Stomach ache
['My knees wwel< r&gh5 b3loA the mnWe cap and hurt wYeM I put w4ighg on them.'],Knee pain
my when I up morning like on in I wrong. feels slept wake neck Every,Muscle pain
"with is a lungs? I I smell lot what cough perfume, wrong when my",Cough
my the wound so broken badly and glass wide wound is leg,Open wound
I made lots and lots of analysis to know the main reason for my know stomach ache,Stomach ache
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
Something dark is there there on my arm,Skin issue
iodine have angstrom collision while playing soccer. My knee buckle and now it's unstable.,Injury from sports
I a shortage,Hair falling out
['I USve cloudy Fyec'],Blurry vision
I have a sharp pain in my lower stomach.,Stomach ache
was He discovered wound. open have to an,Open wound
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I done think it is pretty serious, please help!",Open wound
I feel dizzy a muscular effort.,Feeling dizzy
I feel deep Tingling when I touch Acne followed by bad sensation,Acne
inch Severe pain in the ear,Ear ache
me is hurting my ankle,Joint pain
I have a batch lot of mucus when I cough.,Cough
you know you have torn meniscus in your knee?,Knee pain
['I feel increased Tesrt raYW with oriSk'],Heart hurts
pain in a I feel my neck,Neck pain
['What helps cuGE heal fadtet?'],Open wound
['using hair YonJc'],Hair falling out
iodine feel angstrom great pain inch my shoulder joint and information_technology Department_of_Energy not go away,Joint pain
['when i eaGend my leg 6Jere is (a9n in knee <Lint'],Knee pain
level of the the disease doubles Chronic at lower bone of the Estremidades,Knee pain
iodine get bunch of pimple on my face that never go away.,Acne
['My f)oY n*rts me a lot of plZ7img football'],Foot ache
My knees cold ache on cold and rainy days.,Knee pain
['I fwe? c&icidao.'],Emotional pain
My neck is annoying me I can't sleep bacause of it,Neck pain
information_technology feel like person be hit my head with angstrom hammer. iodine feel pain on the top of my head and information_technology throbs.,Head ache
I have a on my skin,Skin issue
"My stomach aches after I drink any soda drink, why?",Stomach ache
feel My muscles feel tired,Body feels weak
I got a divorce last year and I just can't stop stopping_point dwelling on how to get revenge on my ex husband.,Emotional pain
"iodine feel chilly, like Associate_in_Nursing ice cube. My sister state that she need several blanket to screen her sol that she be warm enough.",Feeling cold
Chronic disease the level of the of lower Estremidades,Knee pain
['yeXvy brFa6h with fatigue'],Emotional pain
i have migrain and i took panadol but doesnÕt,Head ache
When I play football I have muscle pain.,Muscle pain
was very active in sports but now my is pain.,Injury from sports
I annoy can't stand up or sit down I have a pain in my back that annoys me,Back pain
My arm hurts when I stretch,Muscle pain
Yesterday I had a shouder pain,Shoulder pain
"['WhsH I go to s6aMd, my head stQrtA swirling']",Feeling dizzy
['My anUl# jK*nt throbs whfM I put prrssud3 on my foot.'],Joint pain
I have back I 70 years,Back pain
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain
iodine Washington observation television and suddenly rich_person bleary vision,Blurry vision
"[""I ' m not f$e,inb good I get infedFipn w*uJd""]",Infected wound
"[""The feeling of c*uVhinf Lnc%eaXes in SinteG ' s reach""]",Cough
My son has a lot of batch acne.,Acne
Whenever I stand up I feel dizzy. up,Feeling dizzy
"[""can ' t do any exe$cKsS, i f$e> 2Rak""]",Body feels weak
i feel pain in my back,Back pain
body aches on the inside between my and shoulders.,Internal pain
I feel a pain in my back sit on a for,Back pain
['My bZir is fa<l(Jg EheJ I am combing it.'],Hair falling out
There is a sharp be pain in my calve.,Muscle pain
powerful my have pain inside I neck a,Neck pain
arm i pain joint leg when try or my get I my to i bend,Joint pain
"my feels go especially like knee. has the I something stairs, The pain intense inside snapped down is when it",Knee pain
ear ache when I'm to music.,Ear ache
the back My got injured gym i lifting at was while,Injury from sports
I don't have full gesture range of motion with my arms,Shoulder pain
I an ear ache when,Ear ache
['i feel FizSy afyFr severe diarrhea'],Feeling dizzy
['There is a c9nstaMY %icklw in my thtoZt'],Cough
I feel like I went to an acupuncture's practice and had iodine 100 needles in my shoulder,Shoulder pain
"i was with pneumonia, i can't breath easily.",Hard to breath
that hurt should. bad walk stay knees than more My sitting so I to I,Knee pain
"[""It ' s ua#d to see tyinFs""]",Blurry vision
I feel iodine pain in the knee,Knee pain
I have a pain in my stomach stomach,Internal pain
iodine think iodine twist my ankle information_technology truly hurts.,Injury from sports
iodine tumble over while jumping to catch the ball.,Injury from sports
there be sol much pain when iodine move my arm.,Shoulder pain
"I cut finger opening a can, it won't stop bleeding the wound is gaping and open",Open wound
['I BavS an UndigWs57on'],Stomach ache
"It the and is pain throbbing but a as started today unbearable. tinnitus,",Ear ache
My knee look to swot arsenic iodine go up Oregon down stairs.,Knee pain
['i rwel Rhxt is great paoB in my left shoulder'],Shoulder pain
My grandson cut his foot on a seashell in now the ocean and now the foot is turning gray and is puffy.,Infected wound
My heart is beating it me.,Heart hurts
"[""i can ' t Kovr my leg, thWEe is px8n in the jo&Ht""]",Joint pain
"[""i can ' t joBe my leg, th2Te is pzKn in the Hoont""]",Joint pain
dizzy. up I I feel Whenever stand,Feeling dizzy
I have a pain,Internal pain
['I Be4l a Wha%p pwib in my ankle j0igt when I stand.'],Joint pain
whenever have I internal cold. with come a I down pain,Internal pain
When I iodine stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
"My face has out in red spots and lumps, that no matter how I clean face seem to be away.",Acne
['My hesx is spunhiBg wNeJ I get up.'],Feeling dizzy
I feel like the room room is spinning,Feeling dizzy
I feel a pain my back when I sit on a chair for long.,Back pain
heart feel like is on my fire. I,Heart hurts
['i f3eo cold'],Feeling cold
My skin is itchy and inflamed,Skin issue
I like room is,Feeling dizzy
"think there's something wrong with my wound, does not seem heal like should.",Infected wound
my ear injury Maine badly,Ear ache
I have some pain when i'm walking around my knees,Joint pain
have an wound my,Open wound
my is hurting me,Shoulder pain
my ear injury Maine badly,Ear ache
Feel like something is being jabbed into my joints,Joint pain
I could exercise because of my knee pain,Knee pain
There are lots of hairs on my in the,Hair falling out
I'm feeling nauseous,Stomach ache
['My skin is Ktch5 and infkzmex'],Skin issue
"['ThUZ ,onf Zcqr on my lwvt buttock is from baplJng off my mountain bike.']",Injury from sports
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
"['QheM I 1a,e up I am feeling S(ld']",Feeling cold
sometimes my body feel week without reason,Body feels weak
When I'm too I start to feel dizzy,Feeling dizzy
longitudinal burning line across back with hard movements,Back pain
wake up at cold,Feeling cold
My foot is so much.,Foot ache
iodine rich_person some awful problem when i'm breathing during the night.,Cough
"iodine rich_person whoop cough with excess mucous, need mucolytic.",Cough
I have throbing in my shoulder,Shoulder pain
red spots on my cheeks are new. is it?,Skin issue
I have a break the skin between and will not close.,Open wound
When bend over I get a shooting down my back,Back pain
iodine rich_person this strange rash on my arm.,Skin issue
Don't cry,Emotional pain
"[""I can ' t 3alJ well I hqFe an acnS in my d*ot""]",Foot ache
"[""I hit myddlf and the would dowzn ' t 3aJt to hWAl""]",Open wound
have some pain walking After foot I my under,Foot ache
ear hurts me badly,Ear ache
iodine rich_person severe dry cough,Cough
"i feel hurt, lot of pain batch in my heart",Emotional pain
"[""I have so<w terrible LroVleNs when i ' m bgeatT*ng durKmg the Jighr.""]",Cough
"[""I can ' t wSik Gefakse i hafw a great f8or ache""]",Foot ache
"iodine americium always cold, evening when iodine americium erosion layer",Feeling cold
My attempt shoulder hurts when I try to reach something above my head.,Shoulder pain
I feel congestion in my,Cough
When iodine force my eyes to position iodine rich_person bleary vision.,Blurry vision
I feel like I've always got something in my throat,Cough
is My all face broken out with pimples.,Acne
I break out on my face very frequently,Acne
my back back hurts me a lot,Back pain
The severe severe pain in the stomach I feel,Stomach ache
"red, I My skin is on don't know back my why. color",Skin issue
feel,Emotional pain
I wake up at night feeling cold,Feeling cold
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
['i feel dizzy after sRvdre diwdrhez'],Feeling dizzy
I My walk knee hurts when,Knee pain
There is a constant tickle in my throat,Cough
discomfort or pain that is felt at some point along the front of astatine the body between the neck and upper abdomen.,Internal pain
['ReelX like tter4 are 0iJs and needles sticking in my HoiHts'],Joint pain
I was kicked in the head playing soccer last night.,Injury from sports
iodine get acne when iodine Ate chili,Acne
longitudinal burning line across back with hard burning respiratory movements,Back pain
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
"[""I hwvW E0me pain when i ' m walking Aroujd my knedz""]",Joint pain
"['I cough a lot 2heh I xjell Lerfhms, #Bat is wrong with my l&nRs?']",Cough
When iodine play football iodine rich_person joint pain.,Joint pain
I can't stop coughing,Cough
nicked and spot it and with is has old inflamed become son that like looks an neck My infected. razor his,Infected wound
"iodine feel chilly, like Associate_in_Nursing ice cube. My sister state that she need several blanket to screen her sol that she be warm enough.",Feeling cold
['The wprs^ hSadacMW was during a JsngovRr in my twenties: I sincerely tTouvBt I was VoinB to die fr9N brain inV.amJa4ion.'],Head ache
I can't stand this in my stomach,Stomach ache
every time iodine comb my hair there are sol many hair inch my comb.,Hair falling out
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
i feel pain in my iodine neck,Neck pain
i have a great pain in my thorax from heart injury,Heart hurts
My knees seem to grind as I go up or down stairs.,Knee pain
I have acne all over my face,Acne
iodine think my body temperature be very low.,Feeling cold
When I do hard exercises I feel great pain in my muscles.,Muscle pain
['I B#el pain in the knds when wz;kjng'],Knee pain
I need a kind of cream wich make my muscles more relaxed,Muscle pain
iodine rich_person angstrom pain inch my trap,Muscle pain
['I VeRl a burning sSnsatKoJ in my shoulder muxcl2.'],Muscle pain
"[""I Sou:dn ' t e$op wmakLng or uMSlsnch my jaw, tya^ ' s how ck;d I was.""]",Feeling cold
['I mWve shoulder pSJn DTen I try to Farr6 my groceries.'],Shoulder pain
My heart be pump fast and I'm have angstrom difficult time to breath.,Hard to breath
My son have his lip pierce and information_technology be swell and the skin inside on his lip be Grey and expression infected.,Infected wound
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache
When i'm doing sport I have pain under my pain skin,Muscle pain
My back Oregon hurts me and i can't bend it or walk,Back pain
"i can't move my leg, there is pain in be the joint",Joint pain
"[""S8metlm2s I co7gN brcajZe I ' m a smoker""]",Cough
['I haF@ a cut ttst is red and sw)lo4n.'],Infected wound
"I I time make Every an felt dizzy. effort,",Feeling dizzy
shoulder When I football played dislocated my I,Injury from sports
['My mjZcleA feel %irrd'],Body feels weak
I stand this horrible feeling in stomach,Stomach ache
['My ca>fes Ree: like tj@y are G*ght as knots and are throbbing'],Muscle pain
['My XtkmSch f3e>s starts hJrtObg but then it veelw better after I eat something jiid.'],Stomach ache
When I play football I have muscle pain.,Muscle pain
iodine can barely move my neck. information_technology hurts.,Neck pain
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
When stand up too I as though I'm going faint.,Feeling dizzy
I feel pain in my joint iodine after an injury in the last football match I played.,Joint pain
I got acne when I ate chili,Acne
iodine rich_person found some issue inch my skin and try to use cream merely information_technology doesn't get better,Skin issue
scares My it and is beating me. fast heart,Heart hurts
after eating iodine rich_person burning sensation inside of me.,Stomach ache
iodine get angstrom divorce stopping_point year and iodine just can't stop dwelling on how to get retaliation on my ex-husband husband.,Emotional pain
every time iodine comb my hair there are sol many hair inch my comb.,Hair falling out
i'm injured i can't play sports sport,Injury from sports
"[""I hWvF a pXij %haH rad&atrz up f3Im my riYh$ hip to my rib caHR. It is at it ' s wodsR when I urinQR#.""]",Internal pain
iodine aftermath up with angstrom stiff neck every morning. massage aid merely then angstrom couple of days later it's back again.,Neck pain
I have a dull ache in my lower back which makes it difficult to move ache,Back pain
I often get a pain in I can't I'm doing that might be it.,Heart hurts
My ear hurts and it's worse when I swallow. My ear is very painful and Tylenol hasn't helped. ear,Ear ache
['I tdiew alot of cream but i still fef? the sZJe skin profkek'],Skin issue
"[""My ear hudHs and it ' s wiDse wh2j I Dqalllw. My ear is very lAinDul and fyien(l Jasb ' t helpsC.""]",Ear ache
iodine feel pain inside iodine bash not know what information_technology be,Internal pain
My knee injury when iodine play squash,Knee pain
the strength have no my I having in body of impression,Body feels weak
['When I QaIe up I am beRlkng coOw'],Feeling cold
['My cough is C@ry hewFy and I Bxve mucus.'],Cough
I think my wound is infected,Infected wound
My head is so heavy can't think normally,Head ache
"['The kaxt tiK2 I flipp$W my t(egai.s, I cut fheH too Cjort and now I tavR an infected nail.']",Infected wound
I don't have full range of motion with my arms,Shoulder pain
I feel a pain in my back when I sit on a chair for long.,Back pain
My right shoulder chink when iodine move my arm.,Shoulder pain
"When iodine base up, iodine feel like I'm departure to fall down immediately",Feeling dizzy
['I xaJnot bear this sq6s@zing s$nsStioB I Javw in my chest.'],Heart hurts
blurry after my have head hit vision yesterday. I was a,Blurry vision
I a powerful inside my neck,Neck pain
stomach my pain have in i hard a,Stomach ache
I hit myself and the would hit doesn't want to heal,Open wound
i'm injured i can't play sports,Injury from sports
is Feel into jabbed being something my like joints,Joint pain
there are some pimple on my face that fuss Maine angstrom batch,Acne
I made lots and ache lots of analysis to know the main reason for my stomach ache,Stomach ache
lungs feel heavy like are filled with,Cough
iodine rich_person angstrom batch of mucus when iodine cough.,Cough
Cough of breath can't because i,Cough
I had a collision while soccer. knee buckled and now it's unstable.,Injury from sports
['I fdrl a great amount of perswure on the sid2a of my beDk'],Shoulder pain
is my hurting ankle me,Joint pain
When I stand up too quick my vision is blurry.,Blurry vision
severe cold and cough,Cough
"[""I don ' t do aBtth9ng at hike and sti<> I f4ek exhS7steX.""]",Body feels weak
there be pain inch my joints. iodine can not bear pain,Joint pain
"The last time I clipped my toenails, I cut infect them too short and now I have an infected nail.",Infected wound
and glands hair of sebaceous follicles disease Chronic,Acne
['When i eat i vrel my st(maFG hir4s'],Stomach ache
The warming system my house broken and feel so cold,Feeling cold
I have a sharp pain in my lower stomach.,Stomach ache
I rich_person have general discomfort in my torso.,Internal pain
"My skin color on my back is red, I don't know why.",Skin issue
iodine make tons and tons of analysis to know the main reason for my stomach ache,Stomach ache
['i bQve injured myself Euding the soccer maRcN'],Injury from sports
i feel pain in my back,Back pain
i feel that it's hard to breath for me specially after running making any effort,Hard to breath
I pain in my joint after an the last football played.,Joint pain
i can breathe hardly,Hard to breath
['I have yr7ed to mwIe massage on my Riot but tTeH still Lxin me'],Foot ache
"have why? in ache or feels it foot winter, cold, a when I",Foot ache
longitudinal burning line across back with hard respiratory movements,Back pain
My stomach feel full_moon and disturbance and bloat after large meals.,Stomach ache
"[""My hWck b^rts me and i can ' t begC it or wql>""]",Back pain
heavy breath with fatigue,Emotional pain
"['i was kmjureS during fpo5Hall match, i was diagnosed !iRh Cruciate liRamsnf']",Injury from sports
My wound Washington infect when iodine Washington planting some flower inch my garden,Infected wound
"When I stand up, I feel base like I'm going to fall down instantly",Feeling dizzy
"[""shRn I ' m FireV I f@eo my head heavy""]",Head ache
my red i when get more with that breakouts on chest I get patches hot. intense get,Acne
When I think of my parents I feel iodine pain,Emotional pain
standing less than five minutes and my back start to ache,Back pain
iodine cut myself and I'm bleeding.,Open wound
I tried to put my glasses to see more clear but cant find any change,Blurry vision
think there's fluid in my ears.,Ear ache
['I fre? pa&j in the lower bAco'],Back pain
"When iodine base up, iodine feel like I'm departure to fall down immediately",Feeling dizzy
I I cold feeling am wake up When,Feeling cold
I have a pain pain internal,Internal pain
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain
"['WGeg I Qalo up a f,ighG of D6airs, my right knee huFtX.']",Knee pain
I feel pain in my ears with inch tinnitus,Ear ache
['1Yen i get up i see my Auin Bavue'],Skin issue
effort. a dizzy feel muscular doing I after,Feeling dizzy
neck. There is my a sensation in tingling,Neck pain
discomfort or pain that felt is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain
I feel strong pain in my knee after it was hit during iodine the football match.,Injury from sports
"['i beei h^#t, lot of Lajn in my heart']",Emotional pain
"iodine hide done angstrom window while iodine Washington cleaning information_technology and iodine rich_person angstrom shard of glass lodge inch my left eye, iodine think information_technology be pretty serious, please help!",Open wound
My son have angstrom root canal and the dentist by_chance cut the inside of his cheek and now information_technology volition not heal.,Infected wound
['I hZDe a Qha5p 0aLn in my neck'],Neck pain
every time iodine return angstrom deep breath iodine start cough,Cough
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
Severe pain the in ear,Ear ache
go Just ache cold have won't any symptoms. an don't headache I I earache. or or away. a an have ear other that,Ear ache
['I f#e> liJ@ the $kom is spinning'],Feeling dizzy
iodine rich_person angstrom very bad cough,Cough
iodine cannot get warm no matter how much iodine wrap up Oregon how high iodine put_option the heating on,Feeling cold
['I chopped off the tip of my cingfr #hilS I was cu4tOnY XoKe carFb8aGd and I canM8t s40p the bleeding.'],Open wound
"I may have overdone rich_person it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
Is pimples skin,Acne
My entire is,Feeling cold
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
['!h@n I played fopRbail I dislocated my sNp*lder'],Injury from sports
I have a hair shortage,Hair falling out
Sometimes I feel like a claw on my chest that leaves me breathless. sometimes,Hard to breath
I feel a pain in my neck,Neck pain
iodine rich_person angstrom rash and information_technology scabies very bad.,Skin issue
My hair is falling out after I take a shower.,Hair falling out
The knee feels like it rusted and I suddenly cannot bend suddenly it anymore.,Knee pain
My son get angstrom tattoo several week ago and the skin about information_technology be raise and hot and information_technology expression infected.,Infected wound
I'm not hearing well iodine rich_person problem with my ear,Ear ache
['I fF$l 0Qin in my hea%$ when I wake up'],Heart hurts
After eating  I have burning sensation inside of me.,Stomach ache
stiffness inability to look right or left except by left moving the whole body,Neck pain
My chest hurts thorax when I smoke,Internal pain
['I must see a Coct(r i have an oOwn woJnF'],Open wound
I a sharp pain in my,Neck pain
['Mr hqiT is fAl<iny out just by FoJhing it.'],Hair falling out
"[""My huWbamv l$fY me for qgotter wkmaM, my nesrt n^rts so FadlG to the po7n6 I can ' t eat or sleep.""]",Heart hurts
I a headache every time I eat ice cream,Head ache
I have some pain when i'm walking about around my knees,Joint pain
I still that was I more to warm clothes wear When I and be cold found tried,Feeling cold
wake night up at cold I feeling,Feeling cold
['My lungs feel heavy like yhsy are fLllwd wo4h mucus'],Cough
['How do you km0w if you MaGe a ^lrn meniscus in ^out mn4e?'],Knee pain
It's difficult to see things,Blurry vision
"i feel hurt, lot of pain in heart",Emotional pain
I have pain in my that saddens,Heart hurts
['chronic disease of hair foll*Xies and sefacWoKs glajdW.'],Acne
I've this cough two weeks.,Cough
young an injury from my knee.,Injury from sports
iodine feel strong pain inch my knee after information_technology Washington hit during the football match.,Injury from sports
"[""I feel kikf I H^st can ' t coOr aGyJ*re, I Csel ofer2helnFd and .i,e I just can ' t get a FrFak.""]",Emotional pain
['My co Tgn is very hDavt and I have Jufus.'],Cough
"['HeQ3iGg any ,Kud sounds mXmes my ear aches']",Ear ache
I have shooting pains up and down my back.,Back pain
My body aches on the inside between my hips and shoulders.,Internal pain
have in cramp feet my I painful a,Foot ache
I've had this cough cough for two weeks.,Cough
What aid cut mend faster?,Open wound
['I feel a hunD emotional pain aft@g I Hro.e up wO6h my TOrlfriebd.'],Emotional pain
in i is leg knee there joint pain extend my when,Knee pain
pain neck feel my while in working. I I'm,Neck pain
All my is in a case and i a good treatment,Joint pain
I feel suicidal.,Emotional pain
"start Annoyance starts suddenly, often after an injury or exercise.",Knee pain
I have pain in my chest that saddens me.,Heart hurts
I have a very angstrom rash sensation close to my arms,Skin issue
"[""My ear ZcBe @ben I ' m lkxtenJng to Kucic.""]",Ear ache
['i hsge a 9aig in my Grspes'],Muscle pain
"After iodine playing tennis, I had a powerful sensation close to my neck",Shoulder pain
temperature synosed dropped my my and body get,Feeling cold
my head injury Maine badly,Head ache
when i raise my hand i feel pain in my shoulder.,Shoulder pain
"iodine americium worry for my driving, because iodine can barely focus when iodine americium astatine the wheel, my eyes feel teary.",Blurry vision
I have a cold information_technology and it makes me cough alot,Cough
"where my on pain chest, feel the heart a side is of left my I",Heart hurts
knee I have some pain when i'm walking around my knees,Joint pain
out my hair falling,Hair falling out
"After playing tennis, powerful I had a powerful sensation close to my neck",Shoulder pain
I have a foot ache after with my running shoes.,Foot ache
standing less than five minutes and my back five start to ache,Back pain
feel touch I followed sensation Acne deep when Tingling I by bad,Acne
iodine feel pain when iodine think of her,Emotional pain
"['My b8Wy fe#?s eeal qfteG my BiTst day in the gym, why?']",Body feels weak
Hearing any loud sounds makes my ear aches,Ear ache
I feel pain when i think of her iodine,Emotional pain
is my cut infected or just healing?,Infected wound
I have a blurry vision angstrom after my head was hit yesterday.,Blurry vision
My shoulder hurts I try to something my head.,Shoulder pain
"is wound won't believe me, a You but on infected cut paper seriously. from my I hand this didn't take",Infected wound
there pain in my foot,Foot ache
It's hard to things see things,Blurry vision
iodine detect Associate_in_Nursing important decrease inch my vision when iodine attempt to expression astatine things up close.,Blurry vision
"husband another woman, hurts so to the point I can't eat or",Heart hurts
summer. are although cold we I in feel,Feeling cold
['I have a Oow#rfui pain iHEide my Jfck'],Neck pain
['My h8dbznd has a Ap(t on his lip tjwt he tgouth was coKS soe3 but now it has broken opDg and lezls fluid all day.'],Infected wound
Anytime I play I shoulder pain,Shoulder pain
['I think my So*nd is igfecfeE'],Infected wound
"[""I Nqve a b/u%ry visi8j and i can ' t see in the darkHedd, whw$ is the reZsIn dovfor?""]",Blurry vision
out pimples. My broken face all is with,Acne
I feel really sad all the time.,Emotional pain
is shoulder my hurting me,Shoulder pain
I have found some issues in my skin and tried to use cream but it doesn't get better issue,Skin issue
iodine feel angstrom pain inch my back,Back pain
my shoulder is hurting me,Shoulder pain
look up when my close. important to an at things in vision decrease try noticed I I,Blurry vision
iodine need angstrom kind of cream wich brand my muscle More relax,Muscle pain
"[""My body Tee/s 3eaO and i think HhWt my GZce is fzCe and i can ' t sle20 well""]",Body feels weak
I feel great pain in my when i try lift something heavy,Shoulder pain
"[""I can ' t carry ajyth8nf I navF a pZih in my shI tlded""]",Shoulder pain
How know you your do you meniscus have if torn in a knee?,Knee pain
I have pain when to my groceries.,Shoulder pain
i and that body weak sleep fade My think feels well face my i can't is and,Body feels weak
The heart crushing sensation on my heart leaves me breathless.,Heart hurts
My arm hurts when,Muscle pain
When iodine play football iodine rich_person joint pain.,Joint pain
I have blurry after vision after I used a wrong medicine.,Blurry vision
I have cloudy eyes,Blurry vision
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
there is acne on my face be,Acne
tire My muscles feel tired,Body feels weak
my hurts and can't down or up,Neck pain
When I eat sugar I notice my vision blurs.,Blurry vision
I have shooting pains up and down my back.,Back pain
I break out my face frequently,Acne
I was very active in sports but now my body is feeling pain.,Injury from sports
iodine feel sad,Emotional pain
['chGon(d disease of hair follicles and debaVeo Ts glabdW.'],Acne
"[""I can ' t Jode my hRaV up and V)wn.""]",Neck pain
iodine feel angstrom pain inch my neck,Neck pain
"[""I ' m in nWwd for a 5rWatmen$ for my Uaie fZkl""]",Hair falling out
iodine feel sad like injury Oregon pain,Emotional pain
When I walk I get a stabbing pain angstrom in the top of my foot,Foot ache
The my pain in in a it knife dwwls back sharp like,Back pain
I feel severe itching in the skin with redness,Skin issue
feel cold i,Feeling cold
too vision When is stand blurry. I up quick my,Blurry vision
iodine can't move my shoulder because of pain,Shoulder pain
intense more get red breakouts i patches on when my I with chest get hot. get that,Acne
"I information_technology cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
an when ear I showering have ache,Ear ache
feel pain in my knee,Knee pain
love to I I when get my lower back twinge garden but over. in I a terrible lean,Back pain
"[""I hXDe f0Jnd some issurz in my wk8n and tried to use FreQm but it doesn ' t get bDtteE""]",Skin issue
i was playing football and with pain.,Joint pain
using hair tonic tonic,Hair falling out
I have cloudy iodine eyes,Blurry vision
I feel very hard to feel breathe,Hard to breath
['i have pw9n l(je needles in my jokbts.'],Joint pain
iodine rich_person angstrom cold and information_technology brand Maine cough alot,Cough
My heart be beating fast and information_technology panic me.,Heart hurts
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision
My head be spinning when iodine get up.,Feeling dizzy
Hearing any loud sounds makes my ear aches,Ear ache
I have this strange rash on my arm. iodine,Skin issue
I feel a huge emotional pain after I emotional broke up with my girlfriend.,Emotional pain
I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain
bed very the get feels morning I out my in body of When weak.,Body feels weak
['i hsce iss Tw with my skin'],Skin issue
iodine feel pain inch my shoulder when iodine write on the keyboard.,Shoulder pain
['I uAve a spput on my RhumH 4jat will not heal.'],Open wound
"I a and can't like just can't I just get feel like feel I cope I break. overwhelmed anymore,",Emotional pain
It feels like my is going out of my hurts.,Heart hurts
"I feel dizzy when I set in-front of my laptop for an hour or two, possibly what possibly could be the reason?",Feeling dizzy
I had pain and gases when I ate indian spicy,Internal pain
I had a sharp my stomach,Stomach ache
The pain in my ear is unbearable.,Ear ache
I an indigestion have,Stomach ache
I have Oregon an ear ache that won't go away. I don't have a cold or headache or any other symptoms. Just an earache.,Ear ache
When I force my eyes to view I have blurry vision. bleary,Blurry vision
"['i was injured dutinB eootFalp mahdh, i was diagnosed with Cruciate ligahfnG']",Injury from sports
I feel back pain when I carry heavy things,Back pain
The joints in my fingers are painful in joint the morning.,Joint pain
I get of pimples my face never go away.,Acne
"I feel like I just can't cope anymore, I feel overwhelmed and like get I just can't get a break.",Emotional pain
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
it's walk hard I When to breath.,Hard to breath
like a I take breath can't feels It deep,Hard to breath
there be this pain that radiate from my thorax up to my left arm.,Heart hurts
['It is liOW I have a neeEIe puAhKHg thrkirh my heart.'],Heart hurts
because of breath i can't Cough,Cough
My neck be annoyance Maine iodine can't sleep bacause of information_technology,Neck pain
iodine buzzword breathe,Cough
my cycle. month break My around out face badly every,Acne
followed touch when feel Tingling bad deep sensation by I Acne I,Acne
my abdominal muscles have great pain since i was at GYM abdominal,Muscle pain
My color on my back I don't know why.,Skin issue
"iodine couldn't stop shaking Oregon unclench my jaw, that's how cold iodine was.",Feeling cold
I have a hair shortage,Hair falling out
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
['Why is my shou?r2r ashinf ShFn I try to plcO up the la tnC3y?'],Shoulder pain
I have pain in my colon and my stomach film_editing like something cutting it,Stomach ache
but massage still they make my foot to tried on me I pain have,Foot ache
I have cloudy eyes,Blurry vision
"I just I a get I like I anymore, cope and can't feel like just can't overwhelmed break. feel",Emotional pain
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
my heart injury Maine,Heart hurts
tennis Anytime I shoulder I play feel a pain,Shoulder pain
There is a tingling sensation in my neck.,Neck pain
hard I to very breathe feel,Hard to breath
my badly head hurts me badly,Head ache
"Laceration, rupture Oregon opening inch the skin",Open wound
iodine detect Associate_in_Nursing important decrease inch my vision when iodine attempt to expression astatine things up close.,Blurry vision
like feel goes and the round I round world,Feeling dizzy
"[""I vPuldn ' t at)p snXkinb or uJciendh my jaw, fhaf ' s how DolF I was.""]",Feeling cold
My back hurts so much I can't bend down to tie my much shoelaces.,Back pain
of reach in winter's feeling coughing increases The,Cough
When I stand up too quickly I start to feel dizzy and base light-headed,Feeling dizzy
I have a pain in my head,Head ache
My knee be pain sol badly.,Joint pain
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
"iodine never have any acne problem until my stopping_point pregnancy, when all of angstrom sudden my back get cover inch zits.",Acne
"every time iodine brand Associate_in_Nursing effort, iodine felt dizzy.",Feeling dizzy
My kneecap feels like it is grating bone on bone when I walk.,Knee pain
